what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1334027989639
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1334027989662
os,sysinfo,,,"macosx",1334027989667
arch,sysinfo,,,"x86_64",1334027989667
ws,sysinfo,,,"cocoa",1334027989667
locale,sysinfo,,,"en_US",1334027989667
processors,sysinfo,,,"8",1334027989667
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334027989667
java.runtime.version,sysinfo,,,"1.6.0_31-b04-413-11M3623",1334027989667
java.specification.name,sysinfo,,,"Java Platform API Specification",1334027989667
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334027989667
java.specification.version,sysinfo,,,"1.6",1334027989667
java.vendor,sysinfo,,,"Apple Inc.",1334027989667
java.version,sysinfo,,,"1.6.0_31",1334027989667
java.vm.info,sysinfo,,,"mixed mode",1334027989667
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334027989667
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334027989667
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334027989667
java.vm.specification.version,sysinfo,,,"1.0",1334027989667
java.vm.vendor,sysinfo,,,"Apple Inc.",1334027989667
java.vm.version,sysinfo,,,"20.6-b01-413",1334027989667
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334027990087
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1334027991063
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1334027991476
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1334027991572
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1334027991919
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1334027992094
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1334027992382
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1334027992657
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1334027993451
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1334027993497
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1334027993534
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1334027993855
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1334027994241
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1334027994306
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1334027996131
started,bundle,org.eclipse.wst.html.core,1.1.501.v201109080146,"org.eclipse.wst.html.core",1334027996191
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1334027996919
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1334027996941
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1334027997050
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1334027997050
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1334027997355
