what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341580932818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341580934906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341581991031
no handler,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1341581993755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341581997576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584319149
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341584321695
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341584322099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584459824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584502314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584566771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584593446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584707126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584708198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584781788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584782947
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341584784150
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341584791131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584801001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584801492
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341584804819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341584818136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341585735071
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341585735897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341585765069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341585786390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341597401859
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341597412406
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341597414820
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341597415612
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341597415847
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341597416060
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341597434697
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341597731258
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341597731812
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341597731990
